Location_Name,County,Utilities,Type,Address,Latitude,Longitude,url,Languages,Clients
Andhra Bank,,atm,,", all",12.30619563,76.6445225,www.google.com,,
Andhra Bank,,atm,,", all",12.94886373,77.7079123,www.google.com,,
Andhra Bank,,atm,,", all",12.97783493,77.6465268,www.google.com,,
Andhra Bank,,atm,,", all",13.06740243,77.635487,www.google.com,,
Andhra Bank,,atm,,", all",12.96906933,77.7391248,www.google.com,,
Andhra Bank,,atm,,", all",12.97128533,77.6348681,www.google.com,,
Andhra Bank,,atm,,", all",13.03279673,77.6366258,www.google.com,,
Andhra Bank ATM,,atm,,", all",12.97863893,77.7515713,www.google.com,,
Andhra Bank ATM,,atm,,", all",12.86896183,74.8444482,www.google.com,,
Andhra Bank ATM,,atm,,", all",12.93565583,77.5609792,www.google.com,,
Anegudde Sri Vinayaka Temple,,,Spiritual,"Spiritual, all",13.569307,74.704585,www.google.com,,
Anegudde Vinayaka Temple Rd,,,Spiritual,"Spiritual, all",13.567023,74.701699,www.google.com,,
Anekal Road,,Public Transport,,", all",12.723608,77.7105301,www.google.com,,
Anjanadri Petroleum,,Fuel Station,,", all",17.0903219,77.001516,www.google.com,,
Anjandri Petrol / Gas Station,,Fuel Station,,", all",12.9571325,77.5622967,www.google.com,,
Ankali Mutt,,,,", all",14.205458,76.380979,www.google.com,,
Ankola,,Public Transport,,", all",14.6453588,74.3319253,www.google.com,,
Annadaka Water Falls,,,Waterfalls,"Waterfalls, all",13.15985,75.392067,www.google.com,,
Annigeri,,Public Transport,,", all",15.4324315,75.4335393,www.google.com,,
Anshi National Park,,,National_Park,"National_Park, all",14.9981,74.358747,www.google.com,,
Antharagange,,,,", all",13.142523,78.100519,www.google.com,,
Apollo Clinic,,Hospital,,", all",12.95616047,77.71705132,www.google.com,,
Apsara Konda Waterfalls,,,Waterfalls,"Waterfalls, all",14.231159,74.445838,www.google.com,,
AR Udyog Petrol Pump,,Fuel Station,,", all",15.271067,76.3880975,www.google.com,,
Aralaguppe,,Public Transport,,", all",13.2532244,76.6134466,www.google.com,,
Aravind Service Station,,Fuel Station,,", all",12.3111204,76.6447296,www.google.com,,
Archaeological Museum,,,Heritage,"Heritage, all",14.845249,75.979326,www.google.com,,
Archana Hospital,,Hospital,,", all",12.52419216,76.89745277,www.google.com,,
arnataka Bank,,atm,,", all",12.29682193,76.6414461,www.google.com,,
Arya Vaidya Sala Kottakkal,,Hospital,,", all",12.9414373,77.5840181,www.google.com,,
Asar Mahal,,,,", all",16.826029,75.722602,www.google.com,,
Ashoka Siddapura Hillock,,,Hiking,"Hiking, all",14.813046,76.797846,www.google.com,,
Ashraya Hospital,,Hospital,,", all",14.45688515,75.9086843,www.google.com,,
Ashwini Ayurvedic Hospital and College,,Hospital,,", all",14.47896852,75.87305444,www.google.com,,
"Ashwini Nursing Home, Lakshmipuram",,Hospital,,", all",12.2946086,76.6455473,www.google.com,,
Asnoti,,Public Transport,,", all",14.8762904,74.1475931,www.google.com,,
ATM,,atm,,", all",15.32384323,75.1262558,www.google.com,,
ATM,,atm,,", all",15.32393473,75.1259912,www.google.com,,
ATM,,atm,,", all",12.86925103,74.8438594,www.google.com,,
Attibele,,Public Transport,,", all",12.7778976,77.7711926,www.google.com,,
Attiguppe,,Public Transport,,", all",12.9618931,77.5335788,www.google.com,,
Attiveri Bird Sanctuary,,,,", all",15.86827,74.494915,www.google.com,,
Auto LPG super GAS,,Fuel Station,,", all",12.5276713,76.898127,www.google.com,,
Avinash Petrol / Gas Station,,Fuel Station,,", all",17.3484493,76.840031,www.google.com,,
Axis,,atm,,", all",13.02758573,77.571661,www.google.com,,
Axis,,atm,,", all",16.77156613,77.1381845,www.google.com,,
Axis,,atm,,", all",12.89186483,77.6496129,www.google.com,,
Axis ATM,,atm,,", all",12.87708483,77.6020997,www.google.com,,
Axis ATM,,atm,,", all",12.97191753,77.5370015,www.google.com,,
AXIS ATM,,atm,,", all",13.09971753,77.5758749,www.google.com,,
Axis Bank,,atm,,", all",12.81222244,77.50824185,www.google.com,,
Axis Bank,,atm,,", all",12.96013533,77.6431187,www.google.com,,
Axis Bank,,atm,,", all",13.00562483,77.5622366,www.google.com,,
Axis Bank,,atm,,", all",12.84435353,77.660307,www.google.com,,
Axis Bank,,atm,,", all",12.96432233,77.7146215,www.google.com,,
Axis Bank,,atm,,", all",12.93560593,77.6143393,www.google.com,,
Axis Bank,,atm,,", all",13.33572533,74.7494277,www.google.com,,
Axis Bank,,atm,,", all",12.91678723,77.6086339,www.google.com,,
Axis Bank,,atm,,", all",15.43141833,75.6353517,www.google.com,,
Axis Bank,,atm,,", all",12.29783543,76.6425126,www.google.com,,
Axis Bank,,atm,,", all",12.94064613,77.5477204,www.google.com,,
Axis Bank,,atm,,", all",12.93012783,77.5636876,www.google.com,,
Axis Bank,,atm,,", all",13.33668153,74.7367733,www.google.com,,
Axis Bank,,atm,,", all",15.35303563,76.4920405,www.google.com,,
Axis Bank,,atm,,", all",12.97472833,77.5375186,www.google.com,,
Axis Bank,,atm,,", all",13.00586893,77.571081,www.google.com,,
Axis Bank,,atm,,", all",12.96768633,77.5366433,www.google.com,,
Axis Bank,,atm,,", all",12.85025263,77.6570531,www.google.com,,
axis bank,,atm,,", all",14.45655873,75.9070956,www.google.com,,
Axis Bank,,atm,,", all",12.84953643,77.6798538,www.google.com,,
Axis Bank,,atm,,", all",14.85344133,74.1315338,www.google.com,,
Axis Bank,,atm,,", all",13.03244673,77.6087814,www.google.com,,
Axis Bank,,atm,,", all",13.08361643,77.4840457,www.google.com,,
Axis Bank,,atm,,", all",13.86250273,74.8102278,www.google.com,,
Axis Bank,,atm,,", all",12.88350093,77.5698955,www.google.com,,
Axis Bank,,atm,,", all",13.02325643,77.6006133,www.google.com,,
Axis Bank,,atm,,", all",13.08419343,77.5604445,www.google.com,,
Axis Bank,,atm,,", all",13.06371783,77.5720279,www.google.com,,
Axis Bank,,atm,,", all",13.09972833,77.5758556,www.google.com,,
Axis Bank,,atm,,", all",12.91474953,77.6843442,www.google.com,,
Axis Bank,,atm,,", all",12.89854043,77.6216903,www.google.com,,
Axis Bank,,atm,,", all",12.88235293,75.028597,www.google.com,,
Axis Bank,,atm,,", all",12.31840233,76.6505331,www.google.com,,
Axis Bank,,atm,,", all",13.02714423,77.578158,www.google.com,,
Axis Bank,,atm,,", all",12.89577213,77.5994431,www.google.com,,
Axis Bank,,atm,,", all",12.90468653,77.565528,www.google.com,,
Axis Bank,,atm,,", all",12.91651913,77.5987455,www.google.com,,
Axis Bank,,atm,,", all",12.96594233,77.5925731,www.google.com,,
Axis Bank,,atm,,", all",12.88521273,77.5968148,www.google.com,,
Axis Bank,,atm,,", all",12.90452303,77.5803913,www.google.com,,
Axis Bank,,atm,,", all",12.29647033,76.6291621,www.google.com,,
Axis Bank,,atm,,", all",15.08016943,76.5422105,www.google.com,,
Axis Bank,,atm,,", all",12.30252303,76.6180188,www.google.com,,
Axis Bank,,atm,,", all",12.92247693,77.66837,www.google.com,,
Axis Bank,,atm,,", all",12.91800923,77.6319312,www.google.com,,
Axis Bank,,atm,,", all",12.93823853,77.6328181,www.google.com,,
AXIS Bank,,atm,,", all",15.17259173,76.3727098,www.google.com,,
Axis Bank,,atm,,", all",12.98215153,77.6387449,www.google.com,,
Axis Bank,,atm,,", all",12.99782633,77.6097252,www.google.com,,
Axis Bank,,atm,,", all",13.00076193,77.6131533,www.google.com,,
Axis Bank,,atm,,", all",12.95100723,74.8722152,www.google.com,,
Axis Bank,,atm,,", all",12.92395693,74.8290558,www.google.com,,
Axis Bank,,atm,,", all",12.93493563,74.8212357,www.google.com,,
AXIS BANK,,atm,,", all",17.33329393,76.8281132,www.google.com,,
Axis Bank,,atm,,", all",12.86374683,74.8470999,www.google.com,,
Axis Bank,,atm,,", all",12.97412963,77.6359555,www.google.com,,
Axis Bank,,atm,,", all",12.95964923,77.6383775,www.google.com,,
Axis Bank,,atm,,", all",12.92445103,77.6739678,www.google.com,,
AXIS Bank,,atm,,", all",13.03691203,77.523438,www.google.com,,
Axis Bank,,atm,,", all",12.90706673,77.5856124,www.google.com,,
Axis Bank,,atm,,", all",15.44730983,75.0040114,www.google.com,,
Axis Bank,,atm,,", all",12.97492163,77.6703057,www.google.com,,
Axis Bank,,atm,,", all",14.45772703,75.9256384,www.google.com,,
Axis Bank,,atm,,", all",12.97826793,77.6330409,www.google.com,,
Axis Bank,,atm,,", all",12.83512753,77.6844506,www.google.com,,
Axis Bank,,atm,,", all",13.07170993,77.5115784,www.google.com,,
Axis Bank,,atm,,", all",12.94893343,77.6001044,www.google.com,,
Axis Bank,,atm,,", all",12.94462973,77.6289275,www.google.com,,
Axis bank,,atm,,", all",12.98122843,77.6572925,www.google.com,,
Axis Bank,,atm,,", all",12.97250243,77.6508886,www.google.com,,
Axis Bank,,atm,,", all",12.88679493,77.5820014,www.google.com,,
Axis Bank,,atm,,", all",13.00164603,77.6316638,www.google.com,,
Axis Bank,,atm,,", all",13.02780973,77.6043901,www.google.com,,
Axis Bank,,atm,,", all",12.94881913,77.7079318,www.google.com,,
Axis Bank,,atm,,", all",15.92454093,75.6788373,www.google.com,,
Axis Bank,,atm,,", all",12.90408923,77.5847141,www.google.com,,
Axis Bank,,atm,,", all",13.01841073,77.6545173,www.google.com,,
AXIS Bank,,atm,,", all",12.90948863,77.5499478,www.google.com,,
Axis Bank,,atm,,", all",12.98764213,77.5151107,www.google.com,,
Axis Bank,,atm,,", all",12.98427923,77.5282764,www.google.com,,
Axis Bank,,atm,,", all",12.91131063,77.4847857,www.google.com,,
Axis Bank,,atm,,", all",13.01701713,77.5434268,www.google.com,,
Axis Bank,,atm,,", all",12.99327823,77.6793591,www.google.com,,
Axis Bank,,atm,,", all",12.97092443,77.5436834,www.google.com,,
Axis Bank,,atm,,", all",12.94736283,77.5668805,www.google.com,,
Axis Bank,,atm,,", all",13.00594003,77.6386489,www.google.com,,
Axis Bank,,atm,,", all",13.00792593,77.6412745,www.google.com,,
Axis Bank,,atm,,", all",12.94519403,77.5949693,www.google.com,,
Axis Bank,,atm,,", all",13.06719403,77.634866,www.google.com,,
Axis Bank,,atm,,", all",12.98218633,77.5660957,www.google.com,,
Axis Bank,,atm,,", all",12.96471393,77.6056671,www.google.com,,
Axis Bank,,atm,,", all",12.99856413,77.5552753,www.google.com,,
Axis Bank,,atm,,", all",15.35238883,76.4923103,www.google.com,,
Axis Bank,,atm,,", all",15.30568203,76.4740681,www.google.com,,
Axis Bank,,atm,,", all",13.04416063,77.6010657,www.google.com,,
Axis Bank,,atm,,", all",12.96596913,77.5349971,www.google.com,,
axis bank,,atm,,", all",14.54738493,74.3210639,www.google.com,,
Axis Bank,,atm,,", all",13.05517213,77.6013115,www.google.com,,
Axis Bank,,atm,,", all",12.87438883,77.6405192,www.google.com,,
Axis Bank,,atm,,", all",12.88767143,77.5525948,www.google.com,,
Axis Bank,,atm,,", all",12.99697483,77.5502077,www.google.com,,
Axis Bank,,atm,,", all",13.09833093,77.3863216,www.google.com,,
Axis Bank,,atm,,", all",12.88342683,77.605994,www.google.com,,
Axis Bank,,atm,,", all",13.07293003,77.50575,www.google.com,,
Axis Bank,,atm,,", all",13.00927563,77.5375966,www.google.com,,
Axis Bank,,atm,,", all",12.99019103,77.560667,www.google.com,,
Axis Bank,,atm,,", all",12.97599403,77.558578,www.google.com,,
Axis Bank,,atm,,", all",17.11688103,76.402262,www.google.com,,
Axis Bank,,atm,,", all",15.92131603,75.680097,www.google.com,,
Axis Bank,,atm,,", all",13.85006423,75.7049502,www.google.com,,
Axis Bank,,atm,,", all",13.21309803,74.99945,www.google.com,,
Axis Bank,,atm,,", all",12.30587703,76.691387,www.google.com,,
Axis Bank,,atm,,", all",13.00033443,77.5342458,www.google.com,,
Axis Bank,,atm,,", all",12.92618223,77.4856678,www.google.com,,
Axis Bank,,atm,,", all",12.96145433,77.5045383,www.google.com,,
Axis Bank,,atm,,", all",12.58899153,77.0449264,www.google.com,,
Axis Bank,,atm,,", all",12.93812893,77.746621,www.google.com,,
Axis Bank,,atm,,", all",12.96044923,77.717793,www.google.com,,
Axis Bank,,atm,,", all",13.13117823,77.3591675,www.google.com,,
Axis Bank,,atm,,", all",12.94057173,77.6246062,www.google.com,,
Axis Bank,,atm,,", all",12.95607313,77.7164372,www.google.com,,
Axis Bank,,atm,,", all",12.98699503,77.7364965,www.google.com,,
Axis Bank ATM,,atm,,", all",12.98413563,77.7292427,www.google.com,,
Axis Bank ATM,,atm,,", all",12.95641443,77.7147259,www.google.com,,
Axis Bank ATM,,atm,,", all",12.93044503,77.5896349,www.google.com,,
Axis Bank ATM,,atm,,", all",13.02208543,77.6505416,www.google.com,,
Axis Bank ATM,,atm,,", all",12.97476183,77.5375499,www.google.com,,
Axis Bank ATM,,atm,,", all",13.02981173,77.5783199,www.google.com,,
